BoroCode,BoroName,CountyFIPS,NTACode,NTAName
2,Bronx,5,BX31,Allerton-Pelham Gardens
5,Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville
5,Staten Island,85,SI48,Arden Heights
4,Queens,81,QN70,Astoria
4,Queens,81,QN48,Auburndale
4,Queens,81,QN76,Baisley Park
3,Brooklyn,47,BK27,Bath Beach
1,Manhattan,61,MN25,Battery Park City-Lower Manhattan
3,Brooklyn,47,BK31,Bay Ridge
4,Queens,81,QN46,Bayside-Bayside Hills
3,Brooklyn,47,BK75,Bedford
2,Bronx,5,BX05,Bedford Park-Fordham North
4,Queens,81,QN43,Bellerose
2,Bronx,5,BX06,Belmont
3,Brooklyn,47,BK29,Bensonhurst East
3,Brooklyn,47,BK28,Bensonhurst West
3,Brooklyn,47,BK88,Borough Park
4,Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
4,Queens,81,QN35,Briarwood-Jamaica Hills
3,Brooklyn,47,BK19,Brighton Beach
2,Bronx,5,BX07,Bronxdale
3,Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill
3,Brooklyn,47,BK81,Brownsville
3,Brooklyn,47,BK77,Bushwick North
3,Brooklyn,47,BK78,Bushwick South
4,Queens,81,QN33,Cambria Heights
3,Brooklyn,47,BK50,Canarsie
3,Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook
1,Manhattan,61,MN03,Central Harlem North-Polo Grounds
1,Manhattan,61,MN11,Central Harlem South
5,Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville
1,Manhattan,61,MN27,Chinatown
2,Bronx,5,BX01,Claremont-Bathgate
1,Manhattan,61,MN15,Clinton
3,Brooklyn,47,BK69,Clinton Hill
2,Bronx,5,BX13,Co-op City
4,Queens,81,QN23,College Point
4,Queens,81,QN25,Corona
2,Bronx,5,BX75,Crotona Park East
3,Brooklyn,47,BK61,Crown Heights North
3,Brooklyn,47,BK63,Crown Heights South
3,Brooklyn,47,BK83,Cypress Hills-City Line
4,Queens,81,QN45,Douglas Manor-Douglaston-Little Neck
3,Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3,Brooklyn,47,BK30,Dyker Heights
2,Bronx,5,BX14,East Concourse-Concourse Village
4,Queens,81,QN27,East Elmhurst
3,Brooklyn,47,BK91,East Flatbush-Farragut
4,Queens,81,QN52,East Flushing
1,Manhattan,61,MN34,East Harlem North
1,Manhattan,61,MN33,East Harlem South
3,Brooklyn,47,BK82,East New York
3,Brooklyn,47,BK85,East New York (Pennsylvania Ave)
2,Bronx,5,BX17,East Tremont
